species,decimalLatitude,decimalLongitude,eventDate,week,month,year,month.day,yearday,MonthName,source,family
Ladona deplanata,31.5927086,-81.8944766,2023-02-24,8,2,2023,24,55,February,iNAT,Libellulidae
Ischnura kellicotti,30.7109010795,-82.1714425832,2023-02-23,8,2,2023,23,54,February,iNAT,Coenagrionidae
Ischnura posita,30.7111267832,-82.1713071316,2023-02-23,8,2,2023,23,54,February,iNAT,Coenagrionidae
Ladona deplanata,30.7484646768,-82.1730545908,2023-02-23,8,2,2023,23,54,February,iNAT,Libellulidae
Ischnura kellicotti,30.7487510905,-82.1731135994,2023-02-23,8,2,2023,23,54,February,iNAT,Coenagrionidae
Ladona deplanata,30.748439032,-82.1730703488,2023-02-23,8,2,2023,23,54,February,iNAT,Libellulidae
Brachymesia gravida,30.73816042,-82.14112663,2023-02-23,8,2,2023,23,54,February,iNAT,Libellulidae
Anax longipes,33.8869187576,-83.3526352514,2023-02-22,8,2,2023,22,53,February,iNAT,Aeshnidae
Ischnura posita,33.587495,-84.0627833333,2023-02-22,8,2,2023,22,53,February,iNAT,Coenagrionidae
Ladona deplanata,31.144377,-82.212578,2023-02-16,7,2,2023,16,47,February,iNAT,Libellulidae
Cordulegaster maculata,33.9879760642,-83.3858456671,2023-02-09,6,2,2023,9,40,February,iNAT,Cordulegastridae
Ladona deplanata,31.592352,-81.8943359997,2023-02-02,5,2,2023,2,33,February,iNAT,Libellulidae
Boyeria vinosa,33.924563381,-83.3046984965,2023-01-28,4,1,2023,28,28,January,iNAT,Aeshnidae
Pachydiplax longipennis,31.9519314121,-81.0375894792,2022-12-09,49,12,2022,9,343,December,iNAT,Libellulidae
Anax junius,31.1833383333,-81.4824366667,2022-12-02,48,12,2022,2,336,December,iNAT,Aeshnidae
Orthemis ferruginea,32.1426944312,-81.2493353405,2022-11-18,46,11,2022,18,322,November,iNAT,Libellulidae
Erythrodiplax minuscula,32.7679591353,-81.6334074869,2022-11-14,46,11,2022,14,318,November,iNAT,Libellulidae
Sympetrum vicinum,34.6488757818,-83.3013176545,2022-11-09,45,11,2022,9,313,November,iNAT,Libellulidae
Sympetrum ambiguum,33.5877066777,-84.0624972176,2022-11-08,45,11,2022,8,312,November,iNAT,Libellulidae
Progomphus obscurus,31.0085495124,-81.9090173402,2022-11-06,44,11,2022,6,310,November,iNAT,Gomphidae
Ischnura prognata,33.392868,-81.964119,2022-11-06,44,11,2022,6,310,November,iNAT,Coenagrionidae
Ischnura ramburii,33.396065,-81.966011,2022-11-06,44,11,2022,6,310,November,iNAT,Coenagrionidae
Ischnura hastata,33.7677442192,-84.2792578631,2022-11-05,44,11,2022,5,309,November,iNAT,Coenagrionidae
Anax junius,30.8185466667,-83.3118883333,2022-11-05,44,11,2022,5,309,November,iNAT,Aeshnidae
Ischnura posita,32.5554811664,-82.1209620277,2022-11-04,44,11,2022,4,308,November,iNAT,Coenagrionidae
Ischnura ramburii,32.3769698824,-82.0639875816,2022-11-04,44,11,2022,4,308,November,iNAT,Coenagrionidae
Macromia illinoiensis,34.6169431493,-84.0990093803,2022-11-03,44,11,2022,3,307,November,iNAT,Corduliidae
Lanthus vernalis,34.6172824614,-84.09947063,2022-11-03,44,11,2022,3,307,November,iNAT,Gomphidae
Erythemis simplicicollis,33.475769027,-81.961312294,2022-10-30,43,10,2022,30,303,October,iNAT,Libellulidae
Anax junius,30.9206848145,-84.1592559814,2022-10-30,43,10,2022,30,303,October,iNAT,Aeshnidae
Aeshna umbrosa,34.7393770082,-83.3979849145,2022-10-28,43,10,2022,28,301,October,iNAT,Aeshnidae
Erythrodiplax berenice,31.0442230556,-81.5413305556,2022-10-28,43,10,2022,28,301,October,iNAT,Libellulidae
Anax junius,33.47615,-85.0467083333,2022-10-28,43,10,2022,28,301,October,iNAT,Aeshnidae
Argia apicalis,32.467542391,-84.9961848557,2022-10-28,43,10,2022,28,301,October,iNAT,Coenagrionidae
Anax junius,31.9722028987,-81.1478432951,2022-10-25,43,10,2022,25,298,October,iNAT,Aeshnidae
Enallagma signatum,30.80565,-82.40459,2022-10-25,43,10,2022,25,298,October,iNAT,Coenagrionidae
Ischnura kellicotti,32.4255651075,-82.6035599648,2022-10-25,43,10,2022,25,298,October,iNAT,Coenagrionidae
Orthemis ferruginea,31.6300386,-81.28572,2022-10-24,43,10,2022,24,297,October,iNAT,Libellulidae
Tramea carolina,31.115002953,-81.4095574245,2022-10-20,42,10,2022,20,293,October,iNAT,Libellulidae
Anax junius,31.6348615982,-81.2810425361,2022-10-20,42,10,2022,20,293,October,iNAT,Aeshnidae
Pachydiplax longipennis,31.0734919,-81.4114142,2022-10-20,42,10,2022,20,293,October,iNAT,Libellulidae
Sympetrum corruptum,31.1123276974,-81.409335807,2022-10-20,42,10,2022,20,293,October,iNAT,Libellulidae
Orthemis ferruginea,31.90674,-82.273459,2022-10-19,42,10,2022,19,292,October,iNAT,Libellulidae
Orthemis ferruginea,31.90592,-82.2733483333,2022-10-19,42,10,2022,19,292,October,iNAT,Libellulidae
Erythrodiplax minuscula,31.5925523997,-81.8942777997,2022-10-19,42,10,2022,19,292,October,iNAT,Libellulidae
Erythrodiplax minuscula,31.9143783333,-82.3100216667,2022-10-19,42,10,2022,19,292,October,iNAT,Libellulidae
Pantala flavescens,31.0434627431,-81.4196525887,2022-10-18,42,10,2022,18,291,October,iNAT,Libellulidae
Perithemis tenera,31.4775048997,-83.5253187997,2022-10-18,42,10,2022,18,291,October,iNAT,Libellulidae
Anax junius,31.386555,-81.2666466667,2022-10-17,42,10,2022,17,290,October,iNAT,Aeshnidae
Pachydiplax longipennis,31.0151150074,-81.4253400771,2022-10-16,41,10,2022,16,289,October,iNAT,Libellulidae
Orthemis ferruginea,32.5532266825,-84.9800060556,2022-10-15,41,10,2022,15,288,October,iNAT,Libellulidae
Orthemis ferruginea,31.955907602,-81.0244561029,2022-10-14,41,10,2022,14,287,October,iNAT,Libellulidae
Ischnura ramburii,31.9563118532,-81.0192416686,2022-10-14,41,10,2022,14,287,October,iNAT,Coenagrionidae
Ischnura posita,34.294905,-85.187745,2022-10-14,41,10,2022,14,287,October,iNAT,Coenagrionidae
Stylurus plagiatus,32.467542391,-84.9961848557,2022-10-14,41,10,2022,14,287,October,iNAT,Gomphidae
Anax junius,31.0149972167,-81.432205,2022-10-13,41,10,2022,13,286,October,iNAT,Aeshnidae
Gynacantha nervosa,31.9799292162,-81.1679459906,2022-10-12,41,10,2022,12,285,October,iNAT,Aeshnidae
Enallagma civile,31.592524,-81.8942720997,2022-10-12,41,10,2022,12,285,October,iNAT,Coenagrionidae
Erythemis simplicicollis,31.1676475148,-83.5495563756,2022-10-12,41,10,2022,12,285,October,iNAT,Libellulidae
Argia apicalis,32.467542391,-84.9961848557,2022-10-11,41,10,2022,11,284,October,iNAT,Coenagrionidae
Orthemis ferruginea,30.9470638889,-81.6914527778,2022-10-09,40,10,2022,9,282,October,iNAT,Libellulidae
Dythemis velox,34.6067623416,-83.6671999097,2022-10-09,40,10,2022,9,282,October,iNAT,Libellulidae
Lestes vigilax,31.056794,-82.272327,2022-10-08,40,10,2022,8,281,October,iNAT,Lestidae
Orthemis ferruginea,31.4859527778,-83.5270972222,2022-10-04,40,10,2022,4,277,October,iNAT,Libellulidae
Erythrodiplax minuscula,32.42843667,-81.78476667,2022-10-04,40,10,2022,4,277,October,iNAT,Libellulidae
Erythrodiplax minuscula,33.9431633333,-83.3716666667,2022-10-04,40,10,2022,4,277,October,iNAT,Libellulidae
Anax junius,32.0804443359,-81.0985488892,2022-10-04,40,10,2022,4,277,October,iNAT,Aeshnidae
Anax junius,31.6303841,-84.1609037,2022-10-04,40,10,2022,4,277,October,iNAT,Aeshnidae
Orthemis ferruginea,31.015067498,-81.4327233285,2022-10-03,40,10,2022,3,276,October,iNAT,Libellulidae
Anax junius,31.2285533408,-81.4462012961,2022-10-02,39,10,2022,2,275,October,iNAT,Aeshnidae
Pachydiplax longipennis,33.7915869,-84.3741269,2022-10-02,39,10,2022,2,275,October,iNAT,Libellulidae
